rep,fold,c_index,auc,brier,n_feat
1,1,,,,0
1,2,0.725352112676056,0.763946569523132,0.281243311022344,26
1,3,0.491525423728814,0.64612326852785,0.169898350949724,45
1,4,0.644444444444444,0.682011893037931,0.22403779537367,38
1,5,0.8,0.865960351576461,0.287568552066259,28
2,1,0.690322580645161,0.822862125652172,0.226452817689398,25
2,2,0.619047619047619,0.356053207731974,0.331893099329959,32
2,3,0.645569620253165,0.762968572790542,0.431955705331089,39
2,4,0.735294117647059,0.796239967132336,0.260716467730243,35
2,5,,,,0
3,1,0.756410256410256,0.770361622796056,0.288325450785385,42
3,2,0.803921568627451,0.817651301370974,0.336071216122105,34
3,3,0.701492537313433,0.772653871130241,0.235056183601124,48
3,4,0.851063829787234,0.894279404521248,0.354341406568078,43
3,5,0.707317073170732,0.40428824723506,0.212019327185173,24
4,1,,,,0
4,2,,,,0
4,3,0.605839416058394,0.655710313457477,0.175697278617019,4
4,4,0.752475247524752,0.85787346504874,,41
4,5,0.748427672955975,0.797562498024838,0.172195483634616,12
5,1,0.597402597402597,0.62539719681015,0.184857395007287,9
5,2,0.78021978021978,0.856645886270213,0.384315618825902,48
5,3,0.852272727272727,0.45895456865984,0.314811752970593,38
5,4,0.721311475409836,0.74888316116006,0.366015464072361,60
5,5,0.845679012345679,0.831600597010034,0.183882087140419,39
