feature,coef
HMGA2__promoter,-0.0557411434507371
RHOBTB3__promoter,-0.0338283595514403
TMEM90B__body,-0.0296308345679757
CNOT8__promoter,-0.0289780825848812
RNF115__promoter,-0.0225481660237247
POFUT1__promoter,-0.00902907961018876
SPP1__promoter,-0.00694320613442979
ARIH1__promoter,-0.00391351146459882
