model,scope,N,events,mean_c,sd_c,mean_auc,sd_auc,mean_brier,sd_brier,med_feat,valid_folds,total_folds
Pooled Stratified Enet-Cox,ALL,711,256,0.796091888436442,0.033619308312022,0.844342761996957,0.0356051935366959,0.184249300398221,0.0101094207273216,2,24,25
Elastic-Net Cox,ASTRO,308,81,0.66189535325171,0.0715555947458326,0.640441509347024,0.140345803451684,0.232267925046727,0.0525668527179696,28,25,25
CoxBoost,ASTRO,308,81,0.653483767950345,0.0806007205069521,0.635111616310905,0.144828530050624,0.242031138004852,0.0575239756288526,19,25,25
Elastic-Net Cox,OLIGO,210,45,0.717875672044817,0.0932694184442902,0.723239432831778,0.152269217293687,0.271067738201137,0.0789420219708231,34,21,25
CoxBoost,OLIGO,210,45,0.720702321049487,0.0939424530490962,0.698734602012225,0.176194069280579,0.286381919021476,0.09099833007989,23,25,25
Elastic-Net Cox,GBM,193,130,0.571971025679151,0.0671885965031707,0.584025648940186,0.0976201144385169,0.278526447335018,0.0342295924188272,36,24,25
CoxBoost,GBM,193,130,0.57660637297552,0.0611922961014745,0.590912701543118,0.0899147869036173,0.294381153940712,0.0381088514801718,25,25,25
