model,cancer,N,events,HR,HR_lo,HR_hi,logrank_p
Pooled,ASTRO,308,81,1.91740507311884,1.22385459495176,3.00398611860159,0.0038360581452509
Pooled,OLIGO,210,45,2.3071619619857,1.23500104513349,4.31011482930233,0.00708603261589902
Pooled,GBM,193,130,1.41598289525682,1.00064081687666,2.00372353979943,0.0485645250610698
ASTRO Enet,ASTRO,308,81,6.31688325283544,3.81680234034219,10.4545665381182,1.66533453693773e-15
ASTRO CoxBoost,ASTRO,308,81,6.93735958132615,4.1439949161237,11.6136624042087,1.11022302462516e-16
OLIGO Enet,OLIGO,210,45,19.6339041213598,5.97933789978128,64.4703807524994,1.61518576291542e-11
OLIGO CoxBoost,OLIGO,210,45,13.4031579680265,4.7025449151092,38.2015795189275,6.18182838252324e-10
GBM Enet,GBM,193,130,3.75568290144588,2.537758814189,5.55811449746479,3.13815640140547e-12
GBM CoxBoost,GBM,193,130,6.20831122162297,4.00739132070803,9.61800960773651,0
