"MCL1","MYCN","GLI2","EGFR","CDK6","MET","FGFR1","MYC","CDKN2A.B","PTCH1","PTEN","CCND1","KRAS","CDK4","MDM2","RB1","TP53","NF1","ERBB2","CCNE1","Sample_Name"
0.133,0.233,-0.001,0.02,0.006,0.115,-0.035,0.066,0.005,0,0.161,0.047,-0.026,0.048,0.143,0.067,-0.335,-0.278,0.07,0.132,"TCGA-26-1442"
0.01,0.092,0.021,0.142,0.054,0.181,-0.134,-0.006,-0.132,0.027,-0.016,0.03,-0.095,-0.009,0.115,-0.068,-0.002,-0.195,0.016,0.095,"TCGA-19-5955"
0.041,0.049,0.015,0.219,0.263,0.305,0.008,0.036,-0.789,-0.094,0.114,0.02,-0.067,-0.004,0.095,0.073,-0.01,-0.187,-0.145,0.078,"TCGA-19-5958"
0.074,0.051,0.014,0.259,0.249,0.283,-0.044,-0.025,-0.318,0.069,-0.095,-0.013,-0.028,-0.006,0.198,0.073,0.05,-0.01,0.044,-0.057,"TCGA-06-5411"
-0.009,0.026,0.019,1.162,0.191,0.191,-0.003,0.01,-0.466,-0.045,-0.095,-0.001,-0.07,-0.008,0.09,0.025,-0.021,-0.091,0.013,0.085,"TCGA-76-6282"
0.122,-0.008,0.001,0.304,0.423,0.48,0.047,0.048,0.087,0.002,0.073,-0.045,-0.056,-0.043,0.11,0.048,0.056,-0.073,-0.039,0.083,"TCGA-06-5858"
0.103,0.072,0.063,1.303,0.151,0.269,0.011,0.04,-0.741,0.004,-0.101,0.038,-0.036,0.009,0.137,0.002,0.018,-0.146,-0.111,0.039,"TCGA-19-5952"
0.083,-0.113,-0.126,0.014,-0.032,0.072,0.01,0.051,-2.905,0.04,-0.09,0.01,-0.017,-0.01,0.181,0.062,0.007,-0.055,-0.01,-0.05,"TCGA-19-5956"
0.072,0.061,0.002,1.145,0.259,0.42,0.009,0.013,-1.041,0.033,-0.128,0.021,-0.034,-0.02,0.125,0.066,0.014,-0.132,-0.038,0.14,"TCGA-19-5954"
0.059,0.003,-0.01,0.009,0.009,0.077,-0.016,0.061,0.051,0.041,-0.196,0.027,-0.144,0.619,-0.048,-0.158,0.036,-0.142,0.03,0.029,"TCGA-76-6193"
