"MCL1","MYCN","GLI2","EGFR","CDK6","MET","FGFR1","MYC","CDKN2A.B","PTCH1","PTEN","CCND1","KRAS","CDK4","MDM2","RB1","TP53","NF1","ERBB2","CCNE1","Sample_Name"
0.125,-0.101,-0.061,-0.006,-0.213,0.05,-0.013,-0.121,0.022,-0.06,0.112,-0.058,0.007,-0.036,0.01,-0.15,0.154,-0.12,0.082,0.117,"TCGA-DU-5853"
0.169,-0.032,-0.049,0.026,-0.008,0.291,-0.004,0.019,0.076,-0.019,-0.078,-0.067,0.025,-0.177,-0.028,-0.109,0.114,-0.056,0.064,0.082,"TCGA-FG-6689"
0.164,-0.035,-0.092,-0.037,0.002,0.329,0.008,-0.03,-0.027,-0.107,-0.023,-0.098,-0.009,0.025,0.102,-0.059,0.066,-0.038,0.031,-0.13,"TCGA-CS-6670"
0.177,-0.086,-0.109,-0.006,0.003,0.175,-0.027,0.031,-0.01,-0.066,-0.059,-0.121,0.028,0.013,0.027,0.036,0.089,-0.007,-0.076,0.033,"TCGA-CS-6669"
0.122,-0.095,-0.036,1.024,0.242,0.419,0.042,0.01,-0.337,-0.049,-0.37,-0.076,-0.056,0.025,0.112,-0.084,0.071,0.06,-0.114,0.251,"TCGA-FG-6692"
0.211,-0.072,-0.057,0.898,0.08,0.217,0.019,-0.027,0.004,0.015,-0.288,-0.085,-0.029,0.039,0.195,-0.108,0.07,-0.014,-0.012,0.005,"TCGA-FG-6688"
0.101,-0.073,-0.061,0.411,0.193,0.343,-0.034,-0.017,-0.865,-0.13,-0.313,-0.072,-0.06,0.026,0.086,-0.082,0.053,0.017,-0.072,0.149,"TCGA-CS-6188"
0.136,-0.149,-0.075,-0.03,0.116,0.33,0.016,-0.021,0.077,-0.087,-0.093,-0.115,-0.002,0.01,0.219,0.02,0.072,-0.096,0.092,0.105,"TCGA-CS-4938"
0.144,-0.026,-0.054,0.214,0.29,0.494,0.029,-0.057,-0.023,-0.076,-0.012,-0.079,-0.073,0.032,0.113,-0.067,0.063,-0.043,0.035,-0.262,"TCGA-DU-6410"
0.125,-0.079,-0.06,0.192,0.171,0.242,0.01,-0.122,-0.832,0.052,-0.273,-0.349,-0.006,-0.006,0.064,-0.015,0.069,-0.31,-0.049,0.132,"TCGA-CS-5397"
0.115,-0.078,-0.079,-0.025,0.022,0.173,-0.008,-0.047,-0.097,-0.043,-0.038,-0.083,0.004,-0.013,0.108,-0.037,0.076,-0.025,0.069,-0.01,"TCGA-DU-5851"
0.107,-0.097,-0.063,-0.027,0.029,0.193,0.054,0.183,-0.099,-0.126,-0.025,-0.017,-0.002,0.011,0.217,-0.175,0.078,0.01,0.089,0.045,"TCGA-E1-5307"
0.137,-0.134,0.055,0.102,0.015,0.246,0.118,0.417,-0.159,-0.12,-0.025,0.052,-0.059,0.083,0.264,-0.144,0.125,0.012,0.119,0.136,"TCGA-CS-6666"
0.001,0.05,-0.001,-0.062,-0.08,-0.039,-0.045,0.015,0,-0.03,0.017,-0.002,-0.145,-0.053,0.077,-0.049,0.029,-0.19,-0.065,-0.018,"TCGA-HT-7680"
0.036,-0.051,-0.02,-0.028,-0.004,0.058,0.005,0.19,0.04,-0.059,-0.039,-0.051,-0.044,-0.106,-0.031,-0.074,0.048,-0.043,0.04,0.092,"TCGA-DU-8167"
0.089,0.056,0.005,-0.002,-0.026,0.064,-0.005,0.057,-0.187,-0.111,0.109,-0.001,-0.067,-0.095,-0.057,-0.252,-0.017,-0.219,0.068,0.002,"TCGA-HT-7689"
0.025,0.032,0.054,-0.059,0.011,0.021,0,0.018,0.047,-0.044,0.02,-0.015,-0.127,-0.041,0.094,0.01,0.014,-0.122,0.095,-0.228,"TCGA-DU-8164"
0.059,-0.008,0.009,-0.062,0.018,-0.058,-0.054,-0.023,0.124,-0.013,0.054,0.002,-0.12,-0.013,0.019,-0.046,0.014,-0.172,0.101,-0.062,"TCGA-HT-7620"
0.075,0.015,0.013,0.619,-0.035,-0.019,-0.021,0.019,-0.013,-0.023,0.013,0.029,-0.129,-0.084,0.014,-0.002,-0.035,-0.155,-0.011,-0.028,"TCGA-DU-8162"
0.039,-0.027,-0.015,-0.059,-0.003,0.021,-0.04,0.016,0.166,0.025,0.075,0.01,-0.065,-0.016,0.052,0.012,0.003,-0.084,0.091,-0.204,"TCGA-IK-8125"
0.007,0.011,-0.015,-0.053,-0.003,-0.054,0.053,-0.025,-0.004,-0.164,-0.078,-0.03,-0.118,-0.066,0.111,-0.41,0.058,-0.047,0.083,-0.318,"TCGA-HT-7471"
0.011,0.024,0.021,0.153,0.19,0.2,0.011,0.012,0.114,-0.006,0.051,-0.013,-0.149,-0.052,-0.042,-0.03,0.019,-0.056,0.077,0.045,"TCGA-DU-8166"
0.087,0.018,0.012,0.03,0.016,0,0.009,0.021,-0.174,-0.016,-0.024,0.032,-0.061,-0.023,0.083,-0.056,0.045,-0.089,-0.046,-0.059,"TCGA-HT-7854"
0.067,-0.023,0.029,0.115,0.141,0.102,0.026,-0.01,-0.124,0.167,-0.142,0.009,-0.125,-0.081,0.004,-0.01,-0.123,-0.757,-0.195,0.031,"TCGA-DU-8161"
0.058,0.011,0.003,0.004,-0.039,-0.021,-0.021,0.001,0.049,0.013,0.035,-0.005,-0.024,-0.27,-0.202,-0.047,0.029,-0.059,0.081,0.018,"TCGA-HT-7686"
-0.027,0.078,0.031,-0.011,-0.029,0.019,0.009,0.019,0.056,0.021,0.082,0.153,-0.11,0.007,0.013,-0.017,0.026,-0.205,0.095,0.02,"TCGA-HT-7684"
-0.01,0.038,0.02,-0.038,-0.013,-0.082,-0.044,0.014,0.173,-0.028,0.071,0.042,-0.133,-0.016,0.032,0.043,-0.003,-0.07,0.118,-0.234,"TCGA-HT-7695"
0.017,0.003,0.017,-0.017,0.024,0.028,0.012,-0.006,0.069,-0.108,0.049,0.035,-0.102,-0.034,0.007,-0.012,0.041,-0.041,0.079,-0.202,"TCGA-HT-7687"
0.005,0.06,0,0.16,0.161,0.161,0.015,0.087,0.115,0.087,0.057,-0.022,-0.111,-0.057,0.03,-0.052,0.016,-0.113,0.038,0.039,"TCGA-DU-8163"
0.02,0.004,0.039,0.028,-0.026,-0.011,0.085,0.062,-0.619,0.101,-0.116,-0.045,-0.078,-0.077,0.036,-0.176,0.063,-0.036,0.079,0.082,"TCGA-DU-8158"
-0.009,0.028,-0.018,-0.053,-0.026,-0.003,0.009,0.016,0.127,0.003,0.059,0.004,-0.067,-0.054,0.022,-0.003,0.017,-0.037,-0.009,-0.031,"TCGA-HT-7691"
-0.013,0.02,0.023,-0.062,-0.002,-0.046,-0.027,0.027,0.06,0.081,0.077,0.01,-0.072,-0.043,0.083,0.006,0.041,-0.1,0.139,-0.169,"TCGA-FG-8187"
0.062,0.022,-0.009,-0.044,-0.007,0.026,0.041,0.02,-0.272,0.055,0.1,0.013,-0.14,-0.098,0.113,-0.027,0.063,-0.047,0.049,-0.264,"TCGA-DU-8168"
0.112,0.079,0.027,-0.028,-0.032,-0.04,-0.02,0.006,0.027,0.034,0.06,0.044,-0.137,-0.032,-0.006,0.009,0.028,-0.146,0.141,-0.203,"TCGA-HT-7677"
-0.011,0.044,0.022,-0.04,-0.073,0.051,-0.127,0.106,0.075,0.011,0.128,0.009,-0.142,-0.067,0.269,-0.08,-0.056,-0.261,0.161,-0.083,"TCGA-FG-8188"
0.092,-0.024,0.029,-0.026,-0.021,0.037,0.069,0.018,-0.34,0.015,-0.006,0.022,-0.074,-0.016,-0.024,-0.1,0.013,-0.087,0.111,0.013,"TCGA-FG-8185"
0.089,0.036,0.053,0.075,-0.077,-0.133,-0.075,-0.021,-0.013,-0.081,0.024,0.016,-0.022,-0.022,-0.027,-0.03,0.003,-0.229,0.065,0.114,"TCGA-FG-8182"
0.022,0.103,-0.019,-0.015,0.043,-0.003,0.028,0.012,-0.009,0.048,0.035,0.001,-0.036,-0.032,0.051,-0.014,0,-0.031,0.015,0.059,"TCGA-FG-8181"
0.198,0.107,0.078,0.013,0.094,0.079,-0.058,-0.09,0.174,0.083,-0.202,-0.125,-0.111,0.004,0.005,-0.108,-0.042,-0.164,-0.028,-0.099,"TCGA-DU-8165"
-0.036,0.14,0.07,-0.065,-0.028,-0.034,-0.038,-0.031,0.157,0,0.139,0.076,-0.093,-0.06,-0.03,-0.277,0,-0.069,0.114,-0.119,"TCGA-HT-7616"
0.051,0.035,0.006,-0.066,0.246,0.255,-0.053,-0.004,0.086,0.036,0.063,0.203,-0.194,-0.036,-0.051,0.008,0.023,-0.179,0.119,0.043,"TCGA-HT-7693"
0.03,0.048,0.008,-0.015,-0.029,-0.025,-0.023,-0.004,0.136,0.024,0.065,-0.003,-0.103,-0.088,0,-0.04,0.002,-0.122,0.03,0.002,"TCGA-FG-8191"
-0.036,-0.091,-0.115,0.012,0.017,-0.024,0.027,0.012,-0.058,-0.103,-0.005,-0.023,-0.097,-0.044,0.15,-0.16,0.051,-0.008,0.067,-0.37,"TCGA-HT-7692"
-0.005,0.033,0.024,-0.032,-0.027,-0.048,0,0.007,0.103,-0.047,0.065,0.036,-0.17,-0.115,0.137,-0.203,0,-0.109,0.128,-0.302,"TCGA-FG-7641"
0.024,-0.116,0.037,0.019,0.014,0.068,-0.024,-0.045,-0.164,0.006,-0.176,0.079,-0.044,-0.085,0.075,-0.296,0.008,-0.034,-0.028,-0.095,"TCGA-HT-7469"
0.14,0.113,0.026,0.019,0.012,0.007,-0.088,-0.021,-0.211,-0.078,0.046,0.114,-0.137,-0.157,-0.076,-0.235,0.007,-0.097,0.096,-0.116,"TCGA-HT-7688"
-0.009,0.044,0.022,-0.015,-0.032,0.023,0,-0.011,0.132,-0.065,0.046,-0.015,-0.066,0.026,0.01,-0.004,0.03,-0.009,0.139,-0.129,"TCGA-HT-7694"
0.011,-0.182,0.047,-0.016,-0.017,0.009,-0.014,-0.003,0.014,-0.008,0.075,-0.016,-0.526,-0.115,-0.07,-0.404,0.024,-0.153,0.072,0.011,"TCGA-HT-7690"
0.032,0.013,0.018,-0.056,0.378,0.324,0.039,0.02,0.057,0.013,0.028,-0.012,-0.135,-0.056,0.04,-0.01,0.066,-0.061,0.057,-0.227,"TCGA-FG-8186"
0.098,-0.002,-0.081,0.015,0.01,0.117,0.028,0.062,0.04,0.005,0.026,-0.042,-0.026,-0.008,0.155,-0.086,0.05,-0.072,0.039,0.099,"TCGA-HW-7489"
0.04,0.018,-0.056,0.013,-0.02,0.124,-0.021,-0.009,0.103,0.192,0.031,-0.019,-0.083,0.025,0.189,-0.292,0.022,-0.149,0.043,0.073,"TCGA-HT-7483"
0.068,-0.051,-0.019,0.028,0.018,0.081,-0.031,0.016,0.131,0.015,0.045,-0.034,-0.082,0.042,0.117,0.029,0.035,-0.043,0.08,0.056,"TCGA-HT-7472"
0.058,-0.004,-0.087,-0.062,-0.063,0.019,0.061,0.031,-0.251,-0.386,0.024,-0.012,-0.057,-0.005,0.102,-0.001,0.074,-0.038,0.034,-0.231,"TCGA-EZ-7264"
0.107,-0.02,-0.069,-0.038,0.152,0.281,0.029,0.016,0.075,-0.055,0.004,-0.034,-0.029,-0.056,0.209,-0.019,0.053,0.017,0.101,-0.25,"TCGA-HW-7495"
0.083,-0.059,-0.032,0.131,0.143,0.283,-0.004,0.178,0.009,-0.037,0,-0.024,0.138,0.001,-0.004,-0.052,-0.019,-0.048,0.029,0.069,"TCGA-HT-7473"
0.03,-0.027,-0.065,-0.042,0.02,0.066,-0.018,0.013,0.07,0.001,0.007,-0.045,-0.068,0.013,0.083,0.002,0.04,0.001,-0.008,-0.098,"TCGA-HT-7481"
0.105,-0.046,-0.054,-0.07,0.022,0.096,0.02,0.029,0.084,-0.037,0.012,-0.043,-0.051,-0.006,0.165,0.003,0.06,-0.107,0.078,-0.212,"TCGA-DU-7294"
0.003,-0.026,-0.038,0.019,-0.007,0.052,-0.044,-0.014,-0.222,-0.021,0.041,-0.052,-0.078,-0.017,0.102,-0.04,0.032,-0.046,0.056,-0.02,"TCGA-DU-7019"
0.047,-0.047,-0.07,0.003,-0.008,0.076,0.129,0.129,0.021,-0.018,0.03,-0.043,-0.014,0.003,0.128,-0.076,0.003,-0.058,0.107,0.048,"TCGA-HT-7479"
0.04,0.018,-0.039,-0.066,0.011,0.026,0.018,0.001,0,-0.007,0.042,0.001,-0.033,-0.007,0.11,-0.445,0.047,-0.06,0.05,-0.262,"TCGA-HW-7491"
0.072,-0.085,-0.085,0.002,-0.001,0.039,0.014,0.003,-0.233,0.173,-0.015,-0.061,-0.041,0.089,0.35,-0.427,0.028,-0.489,0.113,0.031,"TCGA-DU-7298"
0.08,-0.03,-0.048,0.896,0.419,0.448,0.145,0.193,-0.047,-0.008,-0.309,-0.015,-0.075,0.723,-0.059,-0.059,0.062,0.214,0.241,0.05,"TCGA-DU-7013"
0.214,-0.051,-0.067,0.195,-0.024,0.027,0.028,0.296,0.1,0.041,0.043,0.033,-0.066,-0.002,0.06,-0.032,0.06,-0.051,0.068,0.011,"TCGA-DU-7015"
0.197,-0.055,-0.01,-0.012,0.559,0.618,0.004,0.348,-0.339,-0.015,0.043,-0.014,-0.11,0.026,0.118,-0.403,0.077,-0.07,0.111,0.029,"TCGA-HT-7475"
0.067,-0.03,-0.073,-0.021,-0.032,0.047,0.019,0.028,0.057,0.011,0.037,-0.034,-0.037,-0.023,0.073,-0.065,0.079,-0.049,0.034,0.03,"TCGA-CS-6667"
0.056,-0.066,-0.034,0.195,0.366,0.332,-0.004,0.035,-0.828,-0.01,-0.265,-0.036,-0.046,-0.02,-0.01,-0.081,-0.027,-0.11,-0.063,0.209,"TCGA-CS-6186"
0.074,-0.017,-0.016,-0.009,0.025,0.094,0.144,0.137,-0.317,-0.03,-0.093,-0.029,-0.076,0.013,0.052,-0.152,0.003,-0.147,0.106,0.087,"TCGA-HT-7476"
0.184,-0.013,-0.022,0.001,0.01,-0.021,0.017,0.006,0.004,-0.008,-0.208,-0.044,-0.037,-0.035,0.046,-0.33,0.068,-0.031,0.061,-0.001,"TCGA-DU-7290"
0.007,0.014,-0.017,0.152,0.237,0.183,-0.006,0.01,-0.765,-0.023,-0.172,-0.173,-0.052,-0.027,0.058,-0.085,0.086,-0.028,0.017,0.041,"TCGA-DU-7006"
0.079,-0.044,-0.043,-0.039,-0.034,0.041,-0.01,0.03,0.02,0.049,-0.002,-0.036,-0.1,-0.017,0.031,-0.077,0.051,-0.104,0.07,-0.352,"TCGA-HT-7468"
0.081,0.016,-0.014,0.16,0.141,0.179,-0.024,0.004,-0.404,0.023,-0.159,-0.026,-0.099,-0.07,-0.024,-0.012,0.026,-0.02,-0.033,0.044,"TCGA-DU-7012"
0.091,0.01,-0.047,-0.035,-0.005,0.053,-0.024,0.047,0.023,-0.001,0.073,-0.028,-0.081,0.003,0.116,-0.001,0.019,-0.03,0.08,-0.066,"TCGA-HW-7487"
0.11,-0.023,-0.059,-0.048,0.16,0.227,0.036,0.039,0.07,-0.08,0.035,-0.054,-0.08,-0.064,0.149,-0.043,0.061,-0.027,0.102,-0.172,"TCGA-DU-7009"
0.048,-0.044,-0.019,0,-0.028,0.075,0.01,0.027,0.157,0.01,0.042,0.051,-0.078,0.037,0.089,-0.065,0.033,-0.116,0.058,0.067,"TCGA-HT-7474"
0.021,-0.026,-0.022,0.005,-0.059,-0.031,0.056,-0.02,-0.03,0.012,-0.015,-0.024,-0.044,0.012,-0.021,-0.054,0.107,-0.047,0.089,0.019,"TCGA-HT-7485"
0.047,0,-0.047,0.964,0.427,0.389,0.01,0.023,-0.884,-0.001,-0.167,-0.012,-0.043,-0.025,0.082,-0.309,0.082,-0.098,0.013,0.064,"TCGA-DU-7292"
0.05,-0.095,-0.073,0.072,0.068,0.235,0.127,0.227,-0.077,-0.041,-0.033,-0.001,-0.039,-0.032,0.025,-0.091,0.064,-0.085,0.139,0.035,"TCGA-DU-7014"
0.059,0.003,-0.058,-0.059,0.031,0.172,0.083,0.05,-0.085,-0.009,0.03,0.096,-0.038,-0.006,0.141,-0.062,0.064,-0.047,0.08,-0.127,"TCGA-DU-7018"
0.066,0.021,-0.098,-0.021,0.058,0.032,-0.022,0.014,0.094,-0.017,0.042,-0.046,-0.043,0.013,0.068,0.009,-0.009,-0.049,0.029,0.003,"TCGA-HT-7467"
0.318,-0.044,0.06,0.071,0.093,0.114,-0.033,0.106,0.458,0.31,-0.057,-0.096,-0.021,0.839,-0.082,-0.394,-0.134,-0.298,-0.087,0.101,"TCGA-DU-7010"
0.027,-0.014,-0.033,-0.011,-0.032,0.081,0.022,0.065,0.016,-0.063,0.036,-0.051,0.32,0.002,0.033,-0.199,0.026,-0.072,0.032,0.034,"TCGA-DU-7299"
0.072,0.032,0.026,0.041,-0.007,0.069,-0.052,0.008,0.022,0,0.134,0.075,0.867,-0.011,-0.163,-0.033,0.005,-0.115,0.031,0.129,"TCGA-DU-7007"
0.029,0.019,-0.018,-0.028,-0.014,0.049,-0.006,0.012,-0.083,-0.001,0.062,0.126,-0.097,-0.021,0.166,-0.067,0.041,-0.045,0.034,0.032,"TCGA-HW-7490"
0.062,0.02,0.009,-0.033,0.018,0.078,0,0.028,0.129,0.072,0.179,0.047,-0.149,0.026,0.032,-0.026,-0.012,-0.085,0.007,0.042,"TCGA-HW-7486"
0.042,0.001,-0.039,-0.003,0.015,0.132,0.002,0.046,0.039,0.008,0.097,-0.033,-0.046,-0.044,0.1,0.008,0.05,-0.023,0.04,0.003,"TCGA-HW-7493"
0.142,0.027,-0.005,0.013,0.323,0.298,0.045,0.127,0.282,0.042,0.074,0.039,-0.101,-0.006,-0.158,-0.031,-0.005,-0.075,0.017,0.167,"TCGA-DU-7008"
0.075,0.055,0.007,-0.072,0.051,-0.014,0.247,0.22,0.267,-0.031,0.201,0.042,-0.067,0.023,0.042,-0.219,-0.022,-0.086,0.042,-0.034,"TCGA-HT-7482"
0.04,0.073,0.036,0.016,0.06,0.089,0.039,0.076,0.126,0.118,0.111,0.005,0.119,-0.245,-0.298,-0.02,-0.011,-0.279,0.049,0.091,"TCGA-HT-7478"
0.031,0.023,-0.043,0.078,0.069,0.245,0.141,0.149,-0.627,0.141,-0.073,-0.141,-0.057,-0.022,0.133,-0.043,0.057,-0.022,-0.049,-0.048,"TCGA-19-4065"
0.013,0.048,-0.041,-0.16,-0.086,-0.103,0.085,0.112,0.072,-0.026,0.094,0.022,-0.099,-0.01,0.031,-0.012,0.044,-0.1,0.019,-0.394,"TCGA-CS-6668"
0.094,-0.007,-0.102,-0.067,0.036,0.034,0.069,0.069,0.106,-0.059,-0.172,-0.11,-0.495,0.375,-0.139,-0.121,0.06,0,0.11,-0.025,"TCGA-CS-6665"
0.023,0.004,-0.085,-0.104,-0.065,-0.045,0.072,0.041,0.116,-0.152,0.026,-0.049,-0.084,-0.028,0.128,-0.002,0.086,-0.007,0.088,-0.256,"TCGA-E1-5319"
0.016,0.018,-0.084,-0.107,0.102,0.045,0.019,0.06,-0.812,-0.076,0.121,0,-0.126,-0.035,0.02,-0.005,0.005,-0.098,-0.006,0.021,"TCGA-FG-5965"
0.027,0.047,-0.05,-0.12,-0.037,-0.006,0.026,0.267,-0.01,-0.078,0.13,0.06,-0.087,0.191,0.186,0.016,0.011,-0.142,0.006,-0.322,"TCGA-E1-5305"
0.017,-0.005,-0.093,-0.048,0.025,0.013,0.08,0.109,-0.093,-0.15,0.088,0.061,-0.212,-0.002,-0.107,-0.381,0.045,-0.12,0.037,-0.263,"TCGA-FG-5962"
0.115,-0.005,-0.052,0.13,0.207,0.237,-0.006,-0.001,-0.812,-0.055,-0.18,-0.03,-0.063,-0.01,0.088,-0.049,0.024,-0.032,-0.008,0.204,"TCGA-74-6578"
-0.229,0.736,0.129,-0.014,0.047,-0.073,-0.016,0.024,-0.35,-0.192,-0.291,-0.048,0.1,-0.188,-0.031,-0.437,0.017,0.01,0.127,-0.267,"TCGA-14-0740"
0.034,0.106,-0.055,0.925,0.261,0.106,0.05,0.125,-0.379,-0.022,-0.056,-0.034,0,-0.068,0.067,-0.084,0.179,0.063,0.02,0.204,"TCGA-06-6700"
0.004,0.08,-0.033,0.169,0.265,0.307,-0.044,0.024,0.083,0.007,-0.011,0.011,-0.069,-0.018,0.009,-0.199,-0.089,0.009,-0.013,-0.049,"TCGA-76-6662"
0.134,0.037,-0.028,0.865,0.135,0.155,-0.006,0.043,0.014,-0.069,-0.408,-0.068,-0.079,0.007,0.019,-0.275,0.062,-0.041,-0.05,0.018,"TCGA-26-6173"
0.061,-0.028,-0.091,0.191,0.228,0.257,0.016,0.075,-0.713,-0.257,-1.248,-0.186,-0.113,0.219,-0.14,-0.12,-0.21,0.045,0.086,-0.043,"TCGA-06-6694"
0.03,0.093,-0.025,-0.032,-0.052,-0.273,-0.034,0.02,-0.631,0.008,-0.159,0.004,-0.013,-0.031,0.024,-0.269,0.042,-0.464,-0.214,-0.086,"TCGA-14-0862"
0.249,0.082,0.032,0.227,0.246,0.217,0.044,0.082,0.128,0.024,0.036,0.021,-0.054,-0.034,-0.01,-0.01,0.048,-0.022,-0.016,-0.059,"TCGA-06-6698"
0.036,0.043,-0.04,0.114,0.196,0.164,-0.201,-0.171,0.121,0.018,-0.495,0.007,-0.038,0.599,1.3,-0.021,0.023,-0.043,-0.017,0.131,"TCGA-14-1450"
-0.045,0.051,-0.003,0.131,0.144,0.1,0.032,0.055,-1.483,0.193,-0.069,0.012,0.172,-0.06,0.576,-0.014,-0.092,-0.225,0.08,0.148,"TCGA-76-6660"
0.052,0.047,-0.002,1.007,-0.016,-0.057,-0.316,0.646,-1.339,-0.032,-0.236,0.014,-0.029,-0.085,0.09,-0.004,0.054,-0.049,-0.024,-0.024,"TCGA-06-6693"
0.067,0.174,0.084,0.861,0.45,0.206,-0.018,0.025,-0.61,0.022,-0.645,-0.03,-0.044,-0.078,1.24,-0.023,0.059,-0.037,0.087,0.023,"TCGA-74-6584"
-0.021,0.03,-0.04,0.111,0.127,0.133,-0.019,0.041,-0.38,-0.032,-0.123,-0.021,-0.04,-0.02,0.035,-0.074,-0.009,-0.346,-0.013,0.11,"TCGA-19-5953"
0.034,0.063,-0.01,0.046,0.147,0.122,-0.016,-0.026,-0.301,-0.011,-0.088,0.007,-0.085,-0.095,-0.023,-0.036,0.037,-0.505,-0.066,-0.028,"TCGA-06-6697"
-0.018,-0.015,-0.011,0.88,0.182,0.279,-0.013,0.019,-0.318,-0.434,-0.298,0.005,-0.058,-0.027,0.003,-0.043,0.06,-0.028,-0.032,0.043,"TCGA-14-1395"
0.025,0.05,-0.025,0.972,0.147,0.242,0.005,0.035,-0.638,-0.058,-0.166,-0.05,-0.488,-0.14,-0.008,-0.025,0.046,-0.02,-0.025,-0.01,"TCGA-76-6664"
0.006,0.082,-0.05,0.179,0.312,0.27,0.027,0.068,0.057,0.001,0.128,-0.017,0.001,-0.018,0.048,-0.027,0.064,-0.019,-0.189,0.128,"TCGA-06-1806"
0.249,0.002,-0.01,0.145,0.201,0.246,0.004,0.02,0.076,0.011,-0.234,-0.02,-0.011,-0.007,0.009,-0.195,-0.068,-0.082,-0.039,0.039,"TCGA-76-6283"
0.057,0.089,-0.021,1.034,0.234,0.213,0.004,0.037,-1.131,-0.004,-0.226,-0.034,-0.041,-0.029,0.022,-0.117,0.048,-0.03,-0.044,0.18,"TCGA-76-6661"
0.061,0.015,-0.048,0.978,0.24,0.244,0,0.042,-1.889,0.003,-0.291,-0.024,-0.063,-0.087,0.018,-0.018,0.016,0.045,-0.004,0.203,"TCGA-06-6699"
0.022,0.056,-0.047,0.981,0.265,0.306,-0.017,0.027,-1.405,0.011,-0.268,0.003,-0.035,-0.061,0.002,-0.456,-0.004,-0.347,-0.242,0.088,"TCGA-74-6573"
0.048,0.059,-0.012,1.142,0.206,0.264,-0.005,0.029,-1.389,-0.002,0.028,0.008,-0.103,-0.069,0.037,-0.034,0.021,-0.056,-0.099,0.152,"TCGA-76-6656"
0.039,0.037,-0.006,0.119,0.172,0.171,-0.009,0.048,-0.251,-0.056,-0.085,-0.026,-0.035,-0.026,-0.015,-0.036,-0.009,-0.011,-0.029,0.179,"TCGA-76-6663"
0.007,0.027,-0.034,0.963,0.217,0.225,-0.026,0.037,-1.623,-0.002,-0.251,-0.002,-0.043,-0.008,-0.019,-0.03,0.029,-0.03,-0.02,0.008,"TCGA-74-6581"
0.035,0.059,-0.048,0.566,0.096,0.167,-0.05,0.043,-0.308,-0.002,-0.055,-0.002,-0.023,0.007,0.045,-0.011,0.049,-0.039,-0.015,-0.011,"TCGA-28-5211"
-0.027,0.033,-0.038,0.101,0.132,0.115,0.046,0.066,-0.309,0.133,0.028,0.001,-0.041,-0.065,0.016,-0.044,0.022,0.034,0.057,-0.056,"TCGA-26-6174"
-0.04,0.078,-0.008,0.178,0.215,0.198,0.014,0.095,-1.013,0.062,-0.129,0.08,-0.029,-0.075,-0.035,0.005,0.03,-0.04,-0.003,0.02,"TCGA-76-6657"
-0.012,0.051,-0.005,0.164,0.225,0.264,0.003,0.022,-0.244,0.039,-0.198,0.023,-0.064,0.681,1.291,-0.032,0.045,-0.059,-0.078,0.173,"TCGA-06-6695"
-0.035,0.106,-0.039,0.105,0.15,0.19,0.025,0.048,-0.476,0.002,-0.107,-0.012,-0.025,-0.043,0.093,-0.024,0.085,-0.011,0.005,0.003,"TCGA-74-6575"
-0.011,0.042,-0.042,-0.045,-0.025,0.014,-0.012,0.203,-0.151,0,0.069,0.012,-0.078,0.001,0.022,-0.416,0.009,-0.065,-0.003,-0.014,"TCGA-06-6701"
-0.007,0.061,-0.002,0.146,0.226,0.233,0.012,0.044,-0.995,-0.038,-0.193,0.003,-0.126,-0.084,0.037,-0.011,-0.014,-0.044,-0.018,0.049,"TCGA-06-6388"
0.143,0.05,0.005,0.118,0.223,0.236,0.006,0.015,-1.17,0.066,-0.251,0.009,-0.045,-0.051,0.013,-0.048,-0.02,0.068,0.029,0.197,"TCGA-76-6280"
0.003,0.072,-0.007,0.198,0.211,0.256,-0.014,0.033,-0.002,0.008,-0.305,-0.056,-0.065,-0.095,-0.047,-0.488,0.044,0.045,0.087,0.011,"TCGA-76-6286"
-0.027,0.062,-0.044,0.825,0.21,0.193,-0.001,0.065,0.027,-0.036,-0.181,-0.014,-0.077,-0.007,-0.017,-0.441,0.04,-0.015,-0.035,0.06,"TCGA-81-5911"
-0.003,0.086,-0.047,0.577,0.132,0.167,-0.004,0.033,-0.466,-0.004,-0.103,-0.012,-0.055,-0.07,-0.025,-0.051,0.03,0.015,-0.028,0.028,"TCGA-14-1043"
0.058,0.139,-0.012,0.113,0.145,0.128,0.06,0.035,-0.229,-0.075,-0.145,-0.051,-0.079,-0.063,0.06,-0.042,0.036,-0.006,-0.017,0.033,"TCGA-41-6646"
-0.025,0.076,0,0.209,0.323,0.302,0.007,0.052,-0.638,0.02,-0.131,0.01,0.078,0.069,0.177,-0.039,0.059,-0.03,0.009,-0.066,"TCGA-74-6577"
0.034,0.037,0.03,-0.026,0,0.072,0.013,0.082,-0.157,0.052,-0.085,0.001,-0.116,-0.068,0.188,-0.025,0.056,-0.095,0.034,0.008,"TCGA-HT-7606"
0.064,0.078,-0.019,-0.05,0.021,0.035,0.011,0.064,0.136,0.104,0.19,0.049,-0.018,-0.025,0.114,0.043,0.028,-0.157,0.052,-0.082,"TCGA-HT-7605"
0.086,-0.019,-0.011,0.021,0.057,-0.02,-0.006,0.007,0.174,0.111,0.169,0.037,-0.052,0.052,0.243,0.038,0.051,-0.084,0.051,0.008,"TCGA-FN-7833"
0.094,-0.004,-0.035,0.036,-0.028,0.011,0.132,0.183,0.055,0.002,0.155,0.156,-0.079,0.034,0.167,-0.009,0.086,-0.126,-0.02,0.015,"TCGA-DU-7304"
