rep,fold,c_index,auc,brier,n_feat
1,1,0.596491228070175,0.636346087896753,0.312380912251954,45
1,2,0.64378478664193,0.656222741078297,0.295453510644464,41
1,3,0.665903890160183,0.706797966344324,0.347811205089582,32
1,4,0.487704918032787,0.557943456929383,0.238305672690031,35
1,5,0.453027139874739,0.589337215686224,0.244600660900882,41
2,1,0.576086956521739,0.627003065389409,0.320676209033929,36
2,2,0.593818984547461,0.598763719195754,0.344212720908157,53
2,3,0.662721893491124,0.69669284608001,0.259556913744309,36
2,4,0.45625,0.56730830682836,0.265108810324819,35
2,5,0.584745762711864,0.592068054382465,0.242341812934912,2
3,1,0.561507936507937,0.427555208458134,0.243186456286092,21
3,2,0.60093896713615,0.368470405722639,0.302668939293356,41
3,3,0.48109243697479,0.553621713320213,0.263399543512827,41
3,4,0.580470162748644,0.409335079114954,0.300352574285716,37
3,5,0.610887096774194,0.633832673070857,0.317704134952066,48
4,1,0.554603854389722,0.590966883964684,0.30457323624152,39
4,2,0.639308855291577,0.694420067824559,0.252068384777325,2
4,3,0.608445297504798,0.642873385659927,0.269649314638106,16
4,4,0.615533980582524,0.685577802897088,0.283823471316046,46
4,5,0.602409638554217,0.404827151302898,0.290392226057263,33
5,1,0.451680672268908,0.556681308602184,0.24058439258828,32
5,2,0.593090211132438,0.611106100576688,0.25955605879688,39
5,3,,,,0
5,4,0.481553398058252,0.517705362075269,0.242601823902116,35
5,5,0.625246548323471,0.691158972163389,0.24362575086979,16
